GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
2000,Alaska,8,CA30,50,...,  Personal current transfer receipts,2715458,3077404,3219451,3306718,3245724,3208055,3390845,3592768,4075140,5451446,4738773,5290043,5536364,5406858,5408127,6516069,6676772,6615426
2000,Alaska,8,CA30,60,...,    Income maintenance benefits 1/,246537,283001,293321,320488,334042,353804,381360,397864,433139,460688,593749,744745,809220,839657,841388,901347,901535,899961
2000,Alaska,8,CA30,70,...,    Unemployment insurance compensation,122702,110963,110282,159057,166489,123529,107188,96505,90410,111124,215456,270603,266449,233119,197303,115777,94992,109355
2000,Alaska,8,CA30,80,...,    Retirement and other,2346219,2683440,2815848,2827173,2745193,2730722,2902297,3098399,3551591,4879634,3929568,4274695,4460695,4334082,4369436,5498945,5680245,5606110
2000,Alaska,8,CA30,90,...,"  Dividends, interest, and rent 2/",3236069,3431739,3420202,3369667,3444989,3658733,3881209,4338504,4969613,5422891,5097582,5493322,6068524,6557774,6286156,6671928,7176974,7235774
2000,Alaska,8,CA30,100,...,  Population (persons) 3/,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,714031,722713,731089,736879,736705,737709,741894
2000,Alaska,8,CA30,110,...,  Per capita personal income 4/,29498,31651,33108,34271,35591,36791,38876,40845,43723,47791,46834,48613,51405,52648,51455,54625,56528,55646
2000,Alaska,8,CA30,120,...,  Per capita net earnings 4/,19973,21285,22631,23877,25272,26376,27972,29100,30427,31973,32759,33511,35348,36283,35585,36724,37748,36976
2000,Alaska,8,CA30,130,...,  Per capita personal current transfer receipts 4/,4346,4901,5080,5148,5006,4866,5084,5320,5990,7930,6780,7409,7661,7396,7339,8845,9051,8917
2000,Alaska,8,CA30,140,...,    Per capita income maintenance benefits 4/,395,451,463,499,515,537,572,589,637,670,850,1043,1120,1149,1142,1223,1222,1213
2000,Alaska,8,CA30,150,...,    Per capita unemployment insurance compensation 4/,196,177,174,248,257,187,161,143,133,162,308,379,369,319,268,157,129,147
2000,Alaska,8,CA30,160,...,    Per capita retirement and other 4/,3755,4273,4443,4401,4234,4142,4352,4588,5221,7098,5623,5987,6172,5928,5930,7464,7700,7556
2000,Alaska,8,CA30,170,...,"  Per capita dividends, interest, and rent 4/",5180,5465,5397,5246,5313,5550,5819,6425,7305,7888,7294,7693,8397,8970,8531,9056,9729,9753
